18.0,10.0,2021.0,15.0,2.2,210.0,21.35,51.5,101.0
18.0,10.0,2021.0,16.0,1.8,220.0,20.25,55.5,90.0
18.0,10.0,2021.0,17.0,0.7,300.0,18.1,65.0,72.0
18.0,10.0,2021.0,18.0,0.0,0.0,15.7,77.5,60.0
18.0,10.0,2021.0,19.0,0.0,0.0,13.7,87.5,57.0
18.0,10.0,2021.0,20.0,0.0,0.0,12.5,91.5,56.0
18.0,10.0,2021.0,21.0,0.0,0.0,11.75,93.0,56.0
18.0,10.0,2021.0,22.0,0.0,0.0,11.1,94.5,52.0
18.0,10.0,2021.0,23.0,0.0,0.0,10.5,95.5,52.0
19.0,10.0,2021.0,0.0,0.0,0.0,9.85,95.5,52.0
19.0,10.0,2021.0,1.0,0.0,0.0,9.35,96.5,53.0
19.0,10.0,2021.0,2.0,0.0,0.0,8.9,96.5,52.0
19.0,10.0,2021.0,3.0,0.0,0.0,8.45,96.5,53.0
19.0,10.0,2021.0,4.0,0.0,0.0,8.25,96.5,52.0
19.0,10.0,2021.0,5.0,0.0,0.0,8.2,97.0,52.0
19.0,10.0,2021.0,6.0,0.6,30.0,7.85,97.0,55.0
19.0,10.0,2021.0,7.0,0.0,0.0,9.5,96.5,70.0
19.0,10.0,2021.0,8.0,0.7,110.0,13.0,84.0,92.0
19.0,10.0,2021.0,9.0,1.3,90.0,16.55,67.0,98.0
19.0,10.0,2021.0,10.0,0.6,250.0,18.7,59.5,96.0
19.0,10.0,2021.0,11.0,1.2,280.0,20.05,56.0,98.0
19.0,10.0,2021.0,12.0,1.6,160.0,20.75,52.5,82.0
19.0,10.0,2021.0,13.0,1.5,180.0,21.55,53.0,84.0
19.0,10.0,2021.0,14.0,2.2,220.0,20.9,57.5,84.0
19.0,10.0,2021.0,15.0,1.6,210.0,20.9,55.5,86.0
19.0,10.0,2021.0,16.0,2.0,210.0,20.35,57.5,84.0
19.0,10.0,2021.0,17.0,0.8,220.0,18.8,65.0,76.0
19.0,10.0,2021.0,18.0,0.0,0.0,17.85,71.5,63.0
19.0,10.0,2021.0,19.0,0.8,50.0,17.25,75.5,59.0
19.0,10.0,2021.0,20.0,1.2,40.0,17.25,74.0,59.0
19.0,10.0,2021.0,21.0,0.7,40.0,17.0,74.5,58.0
19.0,10.0,2021.0,22.0,0.9,50.0,17.0,76.0,53.0
19.0,10.0,2021.0,23.0,1.1,60.0,17.2,77.0,53.0
20.0,10.0,2021.0,0.0,0.6,70.0,17.25,78.0,52.0
20.0,10.0,2021.0,1.0,1.0,80.0,17.1,80.0,52.0
20.0,10.0,2021.0,2.0,1.3,100.0,17.2,80.5,51.0
